Entity,Code,Year,Perception willing to give 1% of income,Willingness to give 1% of income,World regions according to OWID,time
Afghanistan,AFG,2024,40.5,82,Asia,2023
Aland Islands,,,,,Europe,2023
Albania,ALB,2024,43.8,71.3,Europe,2023
Algeria,DZA,2024,40,54.6,Africa,2023
American Samoa,,,,,Oceania,2023
Andorra,,,,,Europe,2023
Angola,,,,,Africa,2023
Anguilla,,,,,North America,2023
Antigua and Barbuda,,,,,North America,2023
Argentina,ARG,2024,38.1,62.2,South America,2023
Armenia,ARM,2024,40.7,75.4,Asia,2023
Aruba,,,,,North America,2023
Australia,AUS,2024,38.6,56.1,Oceania,2023
Austria,AUT,2024,37.9,72.7,Europe,2023
Austria-Hungary,,,,,Europe,2023
Azerbaijan,,,,,Asia,2023
Bahamas,,,,,North America,2023
Bahrain,,,,,Asia,2023
Bangladesh,BGD,2024,48.7,82.6,Asia,2023
Barbados,,,,,North America,2023
Belarus,,,,,Europe,2023
Belgium,BEL,2024,37.7,61.4,Europe,2023
Belize,,,,,North America,2023
Benin,BEN,2024,44,84.3,Africa,2023
Bermuda,,,,,North America,2023
Bhutan,,,,,Asia,2023
Bolivia,BOL,2024,44,84.6,South America,2023
Bonaire Sint Eustatius and Saba,,,,,North America,2023
Bosnia and Herzegovina,BIH,2024,41,81.7,Europe,2023
Botswana,BWA,2024,49,71.2,Africa,2023
Brazil,BRA,2024,42.6,67.3,South America,2023
British Indian Ocean Territory,,,,,Asia,2023
British Virgin Islands,,,,,North America,2023
Brunei,,,,,Asia,2023
Bulgaria,BGR,2024,33,70.4,Europe,2023
Burkina Faso,BFA,2024,41.9,84.4,Africa,2023
Burundi,,,,,Africa,2023
Cambodia,KHM,2024,54.7,87.4,Asia,2023
Cameroon,CMR,2024,42.8,82.1,Africa,2023
Canada,CAN,2024,34.2,48.7,North America,2023
Cape Verde,,,,,Africa,2023
Cayman Islands,,,,,North America,2023
Central African Republic,,,,,Africa,2023
Chad,,,,,Africa,2023
Chile,CHL,2024,36,64.9,South America,2023
China,CHN,2024,55.6,80.9,Asia,2023
Christmas Island,,,,,Asia,2023
Cocos Islands,,,,,Asia,2023
Colombia,COL,2024,50.1,77.4,South America,2023
Comoros,,,,,Africa,2023
Congo,COG,2024,38.1,76.7,Africa,2023
Cook Islands,,,,,Oceania,2023
Costa Rica,CRI,2024,44.5,80.7,North America,2023
Cote d'Ivoire,CIV,2024,43.7,83.4,Africa,2023
Croatia,HRV,2024,36.7,70,Europe,2023
Cuba,,,,,North America,2023
Curacao,,,,,North America,2023
Cyprus,CYP,2024,37.5,76.4,Europe,2023
Czechia,CZE,2024,32.3,54.9,Europe,2023
Czechoslovakia,,,,,Europe,2023
Democratic Republic of Congo,,,,,Africa,2023
Democratic Republic of Vietnam,,,,,Asia,2023
Denmark,DNK,2024,46.3,72,Europe,2023
Djibouti,,,,,Africa,2023
Dominica,,,,,North America,2023
Dominican Republic,DOM,2024,43.3,82.7,North America,2023
Duchy of Modena and Reggio,,,,,Europe,2023
Duchy of Parma and Piacenza,,,,,Europe,2023
East Germany,,,,,Europe,2023
East Timor,,,,,Asia,2023
Ecuador,ECU,2024,44.2,77.6,South America,2023
Egypt,EGY,2024,27.4,30.5,Africa,2023
El Salvador,SLV,2024,43.3,72.9,North America,2023
Equatorial Guinea,,,,,Africa,2023
Eritrea,,,,,Africa,2023
Estonia,EST,2024,36,53.7,Europe,2023
Eswatini,,,,,Africa,2023
Ethiopia,,,,,Africa,2023
Ethiopia (former),,,,,Africa,2023
Falkland Islands,,,,,South America,2023
Faroe Islands,,,,,Europe,2023
Federal Republic of Central America,,,,,North America,2023
Fiji,,,,,Oceania,2023
Finland,FIN,2024,36.2,54.6,Europe,2023
France,FRA,2024,38.5,51.1,Europe,2023
French Guiana,,,,,South America,2023
French Polynesia,,,,,Oceania,2023
Gabon,GAB,2024,40.6,81.1,Africa,2023
Gambia,,,,,Africa,2023
Georgia,GEO,2024,51.3,82.5,Asia,2023
Germany,DEU,2024,39.5,67.9,Europe,2023
Ghana,GHA,2024,40.5,71.8,Africa,2023
Gibraltar,,,,,Europe,2023
Grand Duchy of Baden,,,,,Europe,2023
Grand Duchy of Tuscany,,,,,Europe,2023
Great Colombia,,,,,South America,2023
Greece,GRC,2024,36,77.8,Europe,2023
Greenland,,,,,North America,2023
Grenada,,,,,North America,2023
Guadeloupe,,,,,North America,2023
Guam,,,,,Oceania,2023
Guatemala,GTM,2024,41.4,72,North America,2023
Guernsey,,,,,Europe,2023
Guinea,GIN,2024,39.3,83.6,Africa,2023
Guinea-Bissau,,,,,Africa,2023
Guyana,,,,,South America,2023
Haiti,,,,,North America,2023
Honduras,HND,2024,41.4,58.8,North America,2023
Hong Kong,HKG,2024,30.5,65.4,Asia,2023
Hungary,HUN,2024,36.9,73.2,Europe,2023
Iceland,ISL,2024,43.6,71.8,Europe,2023
India,IND,2024,36.1,64,Asia,2023
Indonesia,IDN,2024,43.5,80,Asia,2023
Iran,IRN,2024,44.3,75.8,Asia,2023
Iraq,IRQ,2024,38.1,65.4,Asia,2023
Ireland,IRL,2024,37.3,65,Europe,2023
Isle of Man,,,,,Europe,2023
Israel,ISR,2024,19.5,37.3,Asia,2023
Italy,ITA,2024,39,63.7,Europe,2023
Jamaica,JAM,2024,34.5,69.9,North America,2023
Japan,JPN,2024,24.2,48.8,Asia,2023
Jersey,,,,,Europe,2023
Jordan,JOR,2024,33.8,62.3,Asia,2023
Kazakhstan,KAZ,2024,38.2,45,Asia,2023
Kenya,KEN,2024,39.3,79,Africa,2023
Kingdom of Bavaria,,,,,Europe,2023
Kingdom of Sardinia,,,,,Europe,2023
Kingdom of Saxony,,,,,Europe,2023
Kingdom of Wurttemberg,,,,,Europe,2023
Kingdom of the Two Sicilies,,,,,Europe,2023
Kiribati,,,,,Oceania,2023
Korea (former),,,,,Asia,2023
Kosovo,OWID_KOS,2024,48,84.2,Europe,2023
Kuwait,,,,,Asia,2023
Kyrgyzstan,KGZ,2024,53.2,73,Asia,2023
Laos,LAO,2024,50.5,85.3,Asia,2023
Latvia,LVA,2024,31,54.5,Europe,2023
Lebanon,LBN,2024,40.9,59.4,Asia,2023
Lesotho,,,,,Africa,2023
Liberia,,,,,Africa,2023
Libya,,,,,Africa,2023
Liechtenstein,,,,,Europe,2023
Lithuania,LTU,2024,25.8,40.6,Europe,2023
Luxembourg,,,,,Europe,2023
Macao,,,,,Asia,2023
Madagascar,MDG,2024,34.2,70.5,Africa,2023
Malawi,MWI,2024,39.1,71.3,Africa,2023
Malaysia,MYS,2024,40,66.9,Asia,2023
Maldives,,,,,Asia,2023
Mali,MLI,2024,42.1,85.9,Africa,2023
Malta,MLT,2024,40.7,68.5,Europe,2023
Marshall Islands,,,,,Oceania,2023
Martinique,,,,,North America,2023
Mauritania,,,,,Africa,2023
Mauritius,MUS,2024,53.7,85.1,Africa,2023
Mayotte,,,,,Africa,2023
Mexico,MEX,2024,41.6,75.4,North America,2023
Micronesia (country),,,,,Oceania,2023
Moldova,MDA,2024,39.5,65.1,Europe,2023
Monaco,,,,,Europe,2023
Mongolia,MNG,2024,64.4,89.6,Asia,2023
Montenegro,,,,,Europe,2023
Montserrat,,,,,North America,2023
Morocco,MAR,2024,54,83,Africa,2023
Mozambique,MOZ,2024,41.3,75.8,Africa,2023
Myanmar,MMR,2024,60.2,92.8,Asia,2023
Namibia,NAM,2024,37.1,62.5,Africa,2023
Nauru,,,,,Oceania,2023
Nepal,NPL,2024,41.8,83,Asia,2023
Netherlands,NLD,2024,41.9,65.6,Europe,2023
Netherlands Antilles,,,,,North America,2023
New Caledonia,,,,,Oceania,2023
New Zealand,NZL,2024,35.9,46.4,Oceania,2023
Nicaragua,NIC,2024,46.2,81.2,North America,2023
Niger,,,,,Africa,2023
Nigeria,NGA,2024,39.4,67.3,Africa,2023
Niue,,,,,Oceania,2023
Norfolk Island,,,,,Oceania,2023
North Korea,,,,,Asia,2023
North Macedonia,MKD,2024,40.9,76.5,Europe,2023
Northern Mariana Islands,,,,,Oceania,2023
Norway,NOR,2024,41.7,67.1,Europe,2023
Oman,,,,,Asia,2023
Orange Free State,,,,,Africa,2023
Pakistan,PAK,2024,30.7,47.4,Asia,2023
Pakistan (former),,,,,Asia,2023
Palau,,,,,Oceania,2023
Palestine,,,,,Asia,2023
Panama,PAN,2024,38.5,72,North America,2023
Papua New Guinea,,,,,Oceania,2023
Paraguay,PRY,2024,47.5,85.8,South America,2023
Peru,PER,2024,40.5,77.2,South America,2023
Philippines,PHL,2024,49.4,80.6,Asia,2023
Pitcairn,,,,,Oceania,2023
Poland,POL,2024,37.9,64.2,Europe,2023
Portugal,PRT,2024,40.5,58,Europe,2023
Puerto Rico,,,,,North America,2023
Qatar,,,,,Asia,2023
Republic of Vietnam,,,,,Asia,2023
Reunion,,,,,Africa,2023
Romania,ROU,2024,32.7,69.4,Europe,2023
Russia,RUS,2024,29.4,41,Europe,2023
Rwanda,,,,,Africa,2023
Saint Barthelemy,,,,,North America,2023
Saint Helena,,,,,Africa,2023
Saint Kitts and Nevis,,,,,North America,2023
Saint Lucia,,,,,North America,2023
Saint Martin (French part),,,,,North America,2023
Saint Pierre and Miquelon,,,,,North America,2023
Saint Vincent and the Grenadines,,,,,North America,2023
Samoa,,,,,Oceania,2023
San Marino,,,,,Europe,2023
Sao Tome and Principe,,,,,Africa,2023
Saudi Arabia,SAU,2024,52.5,77.2,Asia,2023
Senegal,SEN,2024,47.8,78.7,Africa,2023
Serbia,SRB,2024,37.8,76.3,Europe,2023
Serbia and Montenegro,,,,,Europe,2023
Seychelles,,,,,Africa,2023
Sierra Leone,SLE,2024,44.2,82.9,Africa,2023
Singapore,SGP,2024,35.1,53.1,Asia,2023
Sint Maarten (Dutch part),,,,,North America,2023
Slovakia,SVK,2024,33.3,67.8,Europe,2023
Slovenia,SVN,2024,44.3,76.1,Europe,2023
Solomon Islands,,,,,Oceania,2023
Somalia,,,,,Africa,2023
South Africa,ZAF,2024,34.1,54.2,Africa,2023
South Georgia and the South Sandwich Islands,,,,,South America,2023
South Korea,KOR,2024,34.5,70.9,Asia,2023
South Sudan,,,,,Africa,2023
Spain,ESP,2024,40.6,65.1,Europe,2023
Sri Lanka,LKA,2024,47.4,79.9,Asia,2023
Sudan,,,,,Africa,2023
Suriname,,,,,South America,2023
Sweden,SWE,2024,43.6,71.8,Europe,2023
Switzerland,CHE,2024,41.3,67.8,Europe,2023
Syria,,,,,Asia,2023
Taiwan,TWN,2024,30.3,62.4,Asia,2023
Tajikistan,TJK,2024,50.9,78,Asia,2023
Tanzania,TZA,2024,45,63.7,Africa,2023
Thailand,THA,2024,46.3,58.3,Asia,2023
Togo,TGO,2024,38.6,79.9,Africa,2023
Tokelau,,,,,Oceania,2023
Tonga,,,,,Oceania,2023
Trinidad and Tobago,,,,,North America,2023
Tunisia,TUN,2024,36.2,58.4,Africa,2023
Turkey,TUR,2024,40.4,66.4,Asia,2023
Turkmenistan,,,,,Asia,2023
Turks and Caicos Islands,,,,,North America,2023
Tuvalu,,,,,Oceania,2023
USSR,,,,,Europe,2023
Uganda,UGA,2024,38.1,74.6,Africa,2023
Ukraine,UKR,2024,32.5,59.4,Europe,2023
United Arab Emirates,ARE,2024,53.9,81.7,Asia,2023
United Kingdom,GBR,2024,37.2,47.6,Europe,2023
United States,USA,2024,33.2,48.1,North America,2023
United States Virgin Islands,,,,,North America,2023
Uruguay,URY,2024,40.4,65.5,South America,2023
Uzbekistan,UZB,2024,62.5,91.6,Asia,2023
Vanuatu,,,,,Oceania,2023
Vatican,,,,,Europe,2023
Venezuela,VEN,2024,45.4,85,South America,2023
Vietnam,VNM,2024,49.9,77.1,Asia,2023
Wallis and Futuna,,,,,Oceania,2023
West Germany,,,,,Europe,2023
Western Sahara,,,,,Africa,2023
World,OWID_WRL,2024,42.8,68.5,,2024
Yemen,,,,,Asia,2023
Yemen Arab Republic,,,,,Asia,2023
Yemen People's Republic,,,,,Asia,2023
Yugoslavia,,,,,Europe,2023
Zambia,ZMB,2024,55.2,81.4,Africa,2023
Zimbabwe,ZWE,2024,41.7,72.1,Africa,2023